#Release 14.2 - par P.28xd (lin)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Aug 25 13:32:41 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       oho_godil.ncd
#OUTPUT FILE:      oho_godil_routed_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,PIN<40>,IOB,IO_L01P_3,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P3,PIN<39>,IOB,IO_L01N_3,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P4,PIN<41>,IOB,IO_L02P_3,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P5,PIN<42>,IOB,IO_L02N_3/VREF_3,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,3.30,,,,
P9,PIN<44>,IOB,IO_L03P_3/LHCLK0,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P10,PIN<45>,IOB,IO_L03N_3/LHCLK1,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P11,PIN<46>,IOB,IO_L04P_3/LHCLK2,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P12,PIN<47>,IOB,IO_L04N_3/LHCLK3/IRDY2,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,PIN<2>,IOB,IO_L05P_3/LHCLK4/TRDY2,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P16,PIN<3>,IOB,IO_L05N_3/LHCLK5,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
P17,PIN<6>,IOB,IO_L06P_3/LHCLK6,BIDIR,LVCMOS33,3,12,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
